Basic data and indicators,Description,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
(blank),Travel,US$ Millions,(blank),IMF,234,135,178,151,211,290,165,113,165,161,141,142,156,184,249,261,332,304,350,400,427,484,603,755,920,394,630
(blank),Passenger transport,US$ Millions,(blank),IMF,0,116,136,143,164,181,176,196,224,281,230,339,374,551,402,574,487,585,958,382,400,359,524,452,469,224,262
BARBADOS,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,110,114,120,126,132,141,149,146,153,163,158,166,177,154,128,145,114,100,102,115,119,99,51,0,0,0,0
(blank),Travel,US$ Millions,(blank),IMF,71,74,79,82,87,94,101,99,104,108,101,104,99,80,71,71,71,58,59,49,56,53,51,0,0,0,0
(blank),Passenger transport,US$ Millions,(blank),IMF,39,40,41,44,45,47,48,47,49,55,57,62,78,74,57,74,43,42,43,66,63,46,0,0,0,0,0
BELARUS,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,"4,747","4,008","6,160","6,518","6,924","6,596","6,811","7,512","6,323","6,440","7,464","7,542","8,427","8,841","7,236","6,972","8,340","9,209","9,326","9,221","2,810","2,616"
(blank),Overnights visitors (tourists),Thousands,1/,(blank),626,703,969,901,934,"1,289","1,387","1,436","1,108",515,572,525,517,380,316,415,320,493,708,741,671,467,706,836,963,254,477
(blank),Same-day visitors (excursionists),Thousands,1/,(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,28,21,15,20,5,2
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,101,142,122,138,133,247,486,527,436,500,516,675,724,860,752,748,729,948,"1,333","1,308",997,891,"1,082","1,170","1,225",511,644
(blank),Travel,US$ Millions,(blank),IMF,87,119,114,124,116,216,454,493,399,450,448,586,606,716,639,622,588,789,"1,153","1,159",901,800,983,"1,069","1,123",469,562
(blank),Passenger transport,US$ Millions,(blank),IMF,14,23,8,14,17,31,32,34,37,50,68,89,118,144,113,126,141,159,180,149,96,91,99,101,102,42,82
BELGIUM,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
